Scrip Code,Scrip ID,Scrip Name,Status,Group,Face Value,ISIN No,Industry
544036,DEEPAKCHEM,Deepak Chemtex Ltd,Active,M,10,INE0RDM01013,Chemicals
544677,DEFRAIL,Defrail Technologies Ltd,Active,M,10,INE0ZE201010,Capital Goods
780006,DEKSON (ITP),Dekson Castings Ltd (ITP),S,IP,1000,INE465Q01013,-
544387,DESCO,Desco Infratech Ltd,Active,MT,10,INE0TGG01014,Construction
543848,DEVLAB,Dev Labtech Venture Ltd,Active,MT,10,INE0NIJ01017,Consumer Durables
544201,DFPL,Dindigul Farm Product Ltd,Active,MT,10,INE0S6R01027,Fast Moving Consumer Goods
542155,DGL,Diksha Greens Ltd,Active,MT,10,INE01GR01018,Services
543753,DHARNI,Dharni Capital Services Ltd,Active,M,1,INE0M9Q01011,Financial Services
544556,DHILLON,Dhillon Freight Carrier Ltd,Active,M,10,INE0SPJ01011,Services
543516,DHYAANITR,Dhyaani Tradeventtures Ltd,Active,M,10,INE0K5F01014,Services
544684,DIGILOGIC,Digilogic Systems Ltd,Active,M,2,INE1OOT01028,Capital Goods
540151,DIKSAT,Diksat Transworld Ltd,Active,MT,10,INE942P01013,"Media, Entertainment & Publication"
544170,DKUAL,Dolphin Kitchen Utensils and Appliances Ltd,Active,MT,10,INE0QXT01018,Consumer Durables
541299,DLCL,Dr Lalchandani Labs Ltd,Active,M,10,INE871Z01013,Healthcare
540811,DML,Diggi Multitrade Ltd,Active,M,10,INE158R01012,Services
543410,DMR,DMR Engineering Ltd,Active,M,10,INE07L501010,Services
543594,DPL,Dipna Pharmachem Ltd,Active,M,10,INE0MC401013,Healthcare
540144,DRA,DRA Consultants Ltd,Active,M,10,INE746V01016,Services
543713,DRONACHRYA,Droneacharya Aerial Innovations Ltd,Active,M,10,INE0MQD01015,Services
540695,DWL,Dhruv Wellness Ltd,S,MT,10,INE109Y01011,Services
544549,EARKART,Earkart Ltd,Active,M,10,INE1A8F01035,Healthcare
